Relative:208,pelco_blank_1,Relative:208,pelco_blank_1,Relative:208,gt_s,Relative:208,gt_s,Relative:208,gt_s,Relative:208,pelco_blank_2,Relative:208,pelco_blank_2,Relative:208,gt,Relative:208,gt,Relative:208,gt,Relative:208,g_s,Relative:208,g_s,Relative:208,g_s,Relative:208,r_s,Relative:208,r_s,Relative:208,r_s,Relative:208,g,Relative:208,g,Relative:208,g,Relative:208,g,Relative:208,r,Relative:208,r,Relative:208,r,Relative:208,r
183.587,91.6,183.587,47.78,183.587,19.83,183.587,-2.74,183.587,43.46,183.587,-33.33,183.587,57.59,183.587,72.78,183.587,1.05,183.587,31.43,183.587,21.94,183.587,-35.23,183.587,32.49,183.587,11.81,183.587,-24.47,183.587,-4.43,183.587,-57.17,183.587,102.95,183.587,59.07,183.587,56.54,183.587,35.23,183.587,82.49,183.587,-37.34,183.587,75.95
183.972,53.47,183.972,33.27,183.972,-127.48,183.972,-1.15,183.972,-41.98,183.972,-49.62,183.972,72.9,183.972,33.21,183.972,95.8,183.972,132.44,183.972,64.12,183.972,2.67,183.972,87.79,183.972,76.34,183.972,-35.11,183.972,-71.37,183.972,48.47,183.972,247.33,183.972,51.91,183.972,148.09,183.972,52.29,183.972,-2.67,183.972,-54.58,183.972,-21.37
184.358,2.28,184.358,108.9,184.358,23.87,184.358,10.75,184.358,61.74,184.358,31.36,184.358,10.95,184.358,22.78,184.358,-2.07,184.358,23.18,184.358,40.24,184.358,22.78,184.358,36.88,184.358,33.93,184.358,24.06,184.358,35.21,184.358,31.46,184.358,33.93,184.358,95.46,184.358,46.15,184.358,32.45,184.358,46.65,184.358,14.3,184.358,-5.52
184.743,42.47,184.743,13.93,184.743,54.06,184.743,50.35,184.743,54.06,184.743,92.93,184.743,84.63,184.743,21.02,184.743,131.98,184.743,75.44,184.743,52.3,184.743,37.99,184.743,68.9,184.743,40.99,184.743,20.49,184.743,9.36,184.743,118.55,184.743,74.91,184.743,100.35,184.743,45.94,184.743,27.03,184.743,58.13,184.743,22.79,184.743,43.82
185.128,113.55,185.128,101.39,185.128,150.85,185.128,322.88,185.128,313.56,185.128,432.2,185.128,378.81,185.128,602.54,185.128,307.63,185.128,348.31,185.128,-101.69,185.128,317.8,185.128,72.88,185.128,115.25,185.128,518.64,185.128,-50,185.128,134.75,185.128,616.95,185.128,386.44,185.128,491.53,185.128,333.05,185.128,224.58,185.128,244.92,185.128,169.49
185.514,207.69,185.514,209.34,185.514,80.44,185.514,81.23,185.514,88.01,185.514,81.07,185.514,38.01,185.514,104.89,185.514,86.59,185.514,43.69,185.514,74.45,185.514,51.89,185.514,87.38,185.514,89.59,185.514,102.84,185.514,97.63,185.514,73.34,185.514,49.21,185.514,150.16,185.514,70.03,185.514,86.91,185.514,11.2,185.514,115.93,185.514,49.21
185.899,-316.22,185.899,112.16,185.899,-46.27,185.899,248.51,185.899,25.37,185.899,-97.01,185.899,-12.69,185.899,41.04,185.899,247.01,185.899,-75.37,185.899,-232.84,185.899,76.87,185.899,28.36,185.899,-149.25,185.899,-44.78,185.899,3.73,185.899,-120.15,185.899,-5.97,185.899,89.55,185.899,122.39,185.899,-64.93,185.899,78.36,185.899,-226.12,185.899,352.24
186.284,50.28,186.284,22.93,186.284,164.98,186.284,17.51,186.284,70.46,186.284,57.81,186.284,44.09,186.284,12.03,186.284,11.18,186.284,98.95,186.284,79.32,186.284,82.91,186.284,42.62,186.284,92.83,186.284,157.81,186.284,79.96,186.284,67.72,186.284,65.82,186.284,123.21,186.284,63.29,186.284,25.11,186.284,45.36,186.284,50.42,186.284,75.95
186.669,79.1,186.669,117.16,186.669,-12.85,186.669,12.57,186.669,-57.54,186.669,-58.66,186.669,102.51,186.669,82.4,186.669,146.09,186.669,110.34,186.669,87.15,186.669,113.69,186.669,-34.08,186.669,87.15,186.669,86.03,186.669,46.09,186.669,174.02,186.669,82.68,186.669,140.78,186.669,188.83,186.669,176.82,186.669,194.69,186.669,44.97,186.669,87.15
187.054,88.54,187.054,31.53,187.054,360.22,187.054,147.85,187.054,317.2,187.054,87.1,187.054,163.98,187.054,168.28,187.054,183.33,187.054,295.16,187.054,38.71,187.054,125.27,187.054,237.63,187.054,55.91,187.054,290.32,187.054,83.33,187.054,-8.06,187.054,279.57,187.054,279.57,187.054,-19.35,187.054,236.02,187.054,244.62,187.054,76.88,187.054,227.96
