Relative:208,pelco_blank_1,Relative:208,pelco_blank_1,Relative:208,gt_s,Relative:208,gt_s,Relative:208,gt_s,Relative:208,pelco_blank_2,Relative:208,pelco_blank_2,Relative:208,gt,Relative:208,gt,Relative:208,gt,Relative:208,g_s,Relative:208,g_s,Relative:208,g_s,Relative:208,r_s,Relative:208,r_s,Relative:208,r_s,Relative:208,g,Relative:208,g,Relative:208,g,Relative:208,g,Relative:208,r,Relative:208,r,Relative:208,r,Relative:208,r
358.015,779.38,358.015,694.11,358.015,21.76,358.015,18.31,358.015,16.58,358.015,715.81,358.015,132.23,358.015,-14.43,358.015,-24.23,358.015,-21.16,358.015,26.61,358.015,23.01,358.015,20.64,358.015,12.67,358.015,40.01,358.015,37.73,358.015,-1.5,358.015,5.39,358.015,67.83,358.015,-8.13,358.015,28.55,358.015,2.94,358.015,-15.25,358.015,-7.59
358.383,725.55,358.383,652.88,358.383,15.75,358.383,11.09,358.383,18.29,358.383,726,358.383,121.83,358.383,-20.08,358.383,-26.62,358.383,-25.65,358.383,19.11,358.383,14.64,358.383,15.16,358.383,5.64,358.383,38.59,358.383,31.69,358.383,-6.22,358.383,4.59,358.383,63.71,358.383,-16.51,358.383,27.95,358.383,-3.45,358.383,-21.33,358.383,-12.81
358.75,750.41,358.75,666.78,358.75,17.88,358.75,13.68,358.75,16.69,358.75,676.45,358.75,120.21,358.75,-17.15,358.75,-21.3,358.75,-20.11,358.75,22.25,358.75,20.8,358.75,23.6,358.75,11.78,358.75,35.58,358.75,31.25,358.75,-2.64,358.75,3.36,358.75,66.23,358.75,-10.95,358.75,32.46,358.75,-0.12,358.75,-12.5,358.75,-7.27
359.118,725.92,359.118,636.2,359.118,24.05,359.118,19.52,359.118,19.38,359.118,690.93,359.118,124.25,359.118,-12.19,359.118,-18.12,359.118,-13.96,359.118,23.4,359.118,25.26,359.118,25.85,359.118,13.04,359.118,41.3,359.118,35.19,359.118,3.73,359.118,8.62,359.118,72.66,359.118,-7.54,359.118,34.96,359.118,3.78,359.118,-10.87,359.118,-1.06
359.485,758.29,359.485,680.27,359.485,24.32,359.485,16.83,359.485,16.78,359.485,648.67,359.485,118.18,359.485,-9.91,359.485,-15.91,359.485,-15.91,359.485,21.38,359.485,28.84,359.485,18.96,359.485,14,359.485,37.65,359.485,34.12,359.485,2.88,359.485,8.79,359.485,61.66,359.485,-8.32,359.485,30.61,359.485,2.21,359.485,-10.99,359.485,-5.5
359.853,728.25,359.853,634.4,359.853,18.9,359.853,20.08,359.853,13.99,359.853,649.31,359.853,116.28,359.853,-13.95,359.853,-18.59,359.853,-19.47,359.853,23.43,359.853,20.05,359.853,17.95,359.853,12.01,359.853,38.35,359.853,30.64,359.853,2.33,359.853,7.67,359.853,62.96,359.853,-10.03,359.853,27.37,359.853,-2.12,359.853,-11.33,359.853,-6.47
360.22,680.37,360.22,607.62,360.22,16.53,360.22,12.13,360.22,13.82,360.22,696.53,360.22,123.38,360.22,-19.27,360.22,-27.2,360.22,-21,360.22,20.32,360.22,18.65,360.22,19.43,360.22,6.42,360.22,34.1,360.22,30.17,360.22,-4.2,360.22,3.1,360.22,63.22,360.22,-15.45,360.22,25.48,360.22,-4.06,360.22,-22.71,360.22,-9.48
360.588,698.53,360.588,614.68,360.588,18.75,360.588,15.34,360.588,20.45,360.588,711.36,360.588,126.02,360.588,-17.01,360.588,-23.95,360.588,-23.32,360.588,26.82,360.588,26.1,360.588,21.63,360.588,10.22,360.588,38.58,360.588,34.48,360.588,-1.97,360.588,1.12,360.588,65.56,360.588,-10.06,360.588,32.9,360.588,3.44,360.588,-18.02,360.588,-6.92
360.955,637.21,360.955,579.42,360.955,20.09,360.955,14.47,360.955,18.69,360.955,640.78,360.955,111.81,360.955,-12.47,360.955,-19.2,360.955,-17.55,360.955,20.69,360.955,20.11,360.955,20.35,360.955,12.05,360.955,38.86,360.955,26.11,360.955,-2.31,360.955,3.91,360.955,62.08,360.955,-7.96,360.955,32.38,360.955,4.9,360.955,-10.2,360.955,-6.21
361.322,654.69,361.322,578.05,361.322,23.47,361.322,13.45,361.322,14.68,361.322,621.98,361.322,113.03,361.322,-12.94,361.322,-15.59,361.322,-13.41,361.322,25.27,361.322,23.9,361.322,25.18,361.322,15.28,361.322,33.56,361.322,29.61,361.322,0.32,361.322,9.39,361.322,61.23,361.322,-8.85,361.322,30.44,361.322,1.74,361.322,-11.6,361.322,-2.3
361.689,689.49,361.689,612.19,361.689,18.99,361.689,16.01,361.689,19.17,361.689,670.5,361.689,120.77,361.689,-15.55,361.689,-19.01,361.689,-16.92,361.689,26.25,361.689,19.72,361.689,21.37,361.689,10.67,361.689,40.6,361.689,30.07,361.689,-4.53,361.689,9.1,361.689,68.31,361.689,-8.6,361.689,28.79,361.689,2.92,361.689,-13.84,361.689,-6.23
362.056,672.65,362.056,594.93,362.056,19.61,362.056,15.34,362.056,16.38,362.056,607.37,362.056,112.8,362.056,-10.67,362.056,-17.97,362.056,-16.32,362.056,20.9,362.056,25.22,362.056,17.19,362.056,11.37,362.056,35.28,362.056,27.65,362.056,0.94,362.056,7.6,362.056,58.13,362.056,-8.25,362.056,29.09,362.056,5.16,362.056,-14.32,362.056,-3.58
362.424,645.63,362.424,570.59,362.424,20.64,362.424,15.58,362.424,16.33,362.424,618.28,362.424,111.88,362.424,-13,362.424,-18.34,362.424,-16.82,362.424,26.03,362.424,19.71,362.424,19.38,362.424,12.36,362.424,36.25,362.424,29.7,362.424,-1.36,362.424,5.88,362.424,57.3,362.424,-9.18,362.424,26.6,362.424,1.64,362.424,-15.75,362.424,-4.92
362.791,606.58,362.791,538.2,362.791,16.22,362.791,13.76,362.791,14.88,362.791,647.1,362.791,117.69,362.791,-19.54,362.791,-24.98,362.791,-17.08,362.791,20.62,362.791,18.52,362.791,22.63,362.791,7.01,362.791,34.13,362.791,25.14,362.791,-2.02,362.791,2.48,362.791,55.65,362.791,-8.38,362.791,28.19,362.791,-1.72,362.791,-17.13,362.791,-7.6
363.158,629.88,363.158,561.79,363.158,18.75,363.158,14.54,363.158,13,363.158,623.97,363.158,116.41,363.158,-16.9,363.158,-20.83,363.158,-22.72,363.158,16.98,363.158,16.31,363.158,18.04,363.158,9.91,363.158,32.82,363.158,25.51,363.158,-3.95,363.158,3.58,363.158,59.56,363.158,-12.23,363.158,27.34,363.158,-0.04,363.158,-15.78,363.158,-7.52
363.525,644.93,363.525,571.07,363.525,17.97,363.525,10.86,363.525,14.51,363.525,608.87,363.525,107.06,363.525,-14.85,363.525,-19.48,363.525,-17.2,363.525,21.31,363.525,18.71,363.525,19.57,363.525,9.1,363.525,35.55,363.525,25.16,363.525,-2.84,363.525,6.11,363.525,55.58,363.525,-8.72,363.525,26.28,363.525,1.78,363.525,-15.36,363.525,-8.86
363.892,610.61,363.892,540.72,363.892,18.44,363.892,14.29,363.892,17.68,363.892,594.46,363.892,105.7,363.892,-11.75,363.892,-17.23,363.892,-16.16,363.892,18.55,363.892,17.01,363.892,19.15,363.892,7.76,363.892,31.61,363.892,29.09,363.892,0.15,363.892,8.68,363.892,53.12,363.892,-7.55,363.892,28.04,363.892,2.72,363.892,-12.92,363.892,-5.62
364.259,615.34,364.259,543.38,364.259,19.69,364.259,13.63,364.259,21.55,364.259,592.22,364.259,103.1,364.259,-12.12,364.259,-16.2,364.259,-14.19,364.259,23.89,364.259,16.36,364.259,22.09,364.259,9.73,364.259,34.46,364.259,31.93,364.259,2.75,364.259,5.93,364.259,60.65,364.259,-2.96,364.259,29.12,364.259,3.55,364.259,-9.17,364.259,-4.44
364.626,635.8,364.626,550.24,364.626,17.22,364.626,17.05,364.626,19.49,364.626,578.59,364.626,106.49,364.626,-12.13,364.626,-14.16,364.626,-14.89,364.626,21.28,364.626,17.46,364.626,18.92,364.626,11.83,364.626,33.71,364.626,28.59,364.626,-0.88,364.626,5.82,364.626,57.6,364.626,-5.4,364.626,20.77,364.626,-0.84,364.626,-12.01,364.626,-5.46
364.992,631.99,364.992,572.91,364.992,17.2,364.992,12.32,364.992,19.51,364.992,600.59,364.992,105.44,364.992,-11.84,364.992,-19.68,364.992,-14.44,364.992,23.39,364.992,18.92,364.992,16.29,364.992,10.06,364.992,36.48,364.992,28.7,364.992,0.46,364.992,4.74,364.992,54.07,364.992,-7.69,364.992,26.1,364.992,-0.8,364.992,-16.18,364.992,-8.05
365.359,600.66,365.359,538.04,365.359,16.97,365.359,13.95,365.359,17.58,365.359,603.12,365.359,109.33,365.359,-12.55,365.359,-16.14,365.359,-15.98,365.359,26.12,365.359,19.21,365.359,19.13,365.359,9.94,365.359,31.86,365.359,29.64,365.359,-4.15,365.359,7.63,365.359,59.19,365.359,-7.65,365.359,24.9,365.359,2.81,365.359,-14.42,365.359,-2.88
365.726,580.83,365.726,512.34,365.726,17.07,365.726,17.12,365.726,16.16,365.726,545.93,365.726,101.72,365.726,-8.08,365.726,-16.87,365.726,-13.17,365.726,23.46,365.726,18.7,365.726,17.43,365.726,9.96,365.726,32.32,365.726,25.68,365.726,-0.77,365.726,6.75,365.726,54.71,365.726,-5.51,365.726,25.42,365.726,2.21,365.726,-12.44,365.726,-4.58
366.093,588.03,366.093,525.81,366.093,18.84,366.093,15.25,366.093,13.41,366.093,582.33,366.093,105.33,366.093,-13.59,366.093,-15.73,366.093,-15.66,366.093,21.77,366.093,17.45,366.093,18.79,366.093,12.62,366.093,32.25,366.093,25.7,366.093,0.67,366.093,8.6,366.093,55.12,366.093,-10.11,366.093,31.23,366.093,-0.78,366.093,-12.13,366.093,-6.44
366.459,595.01,366.459,530.99,366.459,16.49,366.459,13.79,366.459,13.37,366.459,574.89,366.459,99,366.459,-13.99,366.459,-18.8,366.459,-17.02,366.459,20.97,366.459,21.18,366.459,15.17,366.459,7.46,366.459,30.82,366.459,24,366.459,-1.19,366.459,3.75,366.459,56,366.459,-8.52,366.459,23.87,366.459,-1.96,366.459,-16.62,366.459,-11.02
366.826,592.1,366.826,529.4,366.826,16.27,366.826,13.46,366.826,15.66,366.826,524.5,366.826,95,366.826,-12.08,366.826,-15.4,366.826,-12.82,366.826,22.83,366.826,19.97,366.826,16.56,366.826,11.94,366.826,29.96,366.826,26.63,366.826,0.47,366.826,7.11,366.826,50.8,366.826,-6.11,366.826,24.06,366.826,0.58,366.826,-10.27,366.826,-6.3
367.193,558.78,367.193,496.51,367.193,18.75,367.193,12.57,367.193,11.9,367.193,548.74,367.193,94.44,367.193,-13.8,367.193,-15.92,367.193,-13.64,367.193,21.81,367.193,18.08,367.193,14.54,367.193,11.93,367.193,30.51,367.193,23.6,367.193,-0.21,367.193,5.15,367.193,47.33,367.193,-7.17,367.193,23.13,367.193,0.11,367.193,-12.03,367.193,-7.43
367.559,558.55,367.559,499.6,367.559,15.54,367.559,14.73,367.559,14.97,367.559,557.36,367.559,101.74,367.559,-13.8,367.559,-18.53,367.559,-14.84,367.559,23.93,367.559,18.89,367.559,21.58,367.559,10.46,367.559,32.56,367.559,22.57,367.559,-1.35,367.559,5.21,367.559,48.67,367.559,-8.56,367.559,23.3,367.559,0.82,367.559,-13.82,367.559,-6.06
367.926,561.71,367.926,497.16,367.926,14.05,367.926,13.27,367.926,14.87,367.926,528.07,367.926,93.74,367.926,-14.14,367.926,-16.32,367.926,-15.63,367.926,22.29,367.926,14.48,367.926,19.54,367.926,10.31,367.926,30.83,367.926,22.69,367.926,-2.2,367.926,4.01,367.926,52.14,367.926,-9.02,367.926,25.44,367.926,4.35,367.926,-13.55,367.926,-8.39
368.292,550.83,368.292,497.54,368.292,12.21,368.292,8.31,368.292,13.67,368.292,535.57,368.292,94.42,368.292,-15.78,368.292,-18.81,368.292,-15.14,368.292,19.86,368.292,14.45,368.292,17.01,368.292,7.73,368.292,24.63,368.292,21.1,368.292,-5.83,368.292,2.25,368.292,47.6,368.292,-14.13,368.292,21.12,368.292,-1.28,368.292,-14.69,368.292,-8.7
368.659,572.94,368.659,504.14,368.659,18.04,368.659,10.86,368.659,13.97,368.659,533.32,368.659,98.08,368.659,-15.26,368.659,-18.61,368.659,-14.97,368.659,22.98,368.659,16.1,368.659,17.92,368.659,9.93,368.659,29.06,368.659,26.26,368.659,-1.83,368.659,5.72,368.659,47.18,368.659,-7.63,368.659,25.23,368.659,0.11,368.659,-13.26,368.659,-8.59
369.025,536.76,369.025,480.7,369.025,13.97,369.025,12.53,369.025,14.8,369.025,499.42,369.025,89.74,369.025,-9.17,369.025,-15.14,369.025,-11.79,369.025,19.27,369.025,17.08,369.025,16.69,369.025,9.17,369.025,28.84,369.025,24.27,369.025,-0.45,369.025,6.72,369.025,47.06,369.025,-6.29,369.025,21.59,369.025,0.94,369.025,-12.41,369.025,-3.76
369.391,551.06,369.391,485.08,369.391,17.36,369.391,13.33,369.391,17.82,369.391,504.86,369.391,96.03,369.391,-9.9,369.391,-15.99,369.391,-15.53,369.391,19.75,369.391,15.74,369.391,16.92,369.391,8.91,369.391,28.21,369.391,23.88,369.391,0.26,369.391,5.49,369.391,46.44,369.391,-6.62,369.391,17,369.391,-2.46,369.391,-9.72,369.391,-2.73
369.758,544.35,369.758,483.69,369.758,12.38,369.758,12.56,369.758,14.96,369.758,519.57,369.758,92.43,369.758,-11.32,369.758,-18.85,369.758,-15.31,369.758,18.93,369.758,11.58,369.758,16.06,369.758,6.35,369.758,29.58,369.758,24.9,369.758,-2.04,369.758,4.25,369.758,47.88,369.758,-10.59,369.758,26.27,369.758,-0.3,369.758,-12.7,369.758,-5.4
370.124,529.66,370.124,468.1,370.124,15.4,370.124,10.42,370.124,12.38,370.124,495.94,370.124,88.44,370.124,-12.15,370.124,-16.51,370.124,-15.35,370.124,20.19,370.124,14.72,370.124,15.61,370.124,6.92,370.124,25.33,370.124,20.31,370.124,-1.03,370.124,2.8,370.124,44.74,370.124,-7.33,370.124,21.81,370.124,3.26,370.124,-12.75,370.124,-7.96
370.49,525.65,370.49,465.29,370.49,13.67,370.49,9.93,370.49,11.62,370.49,493.59,370.49,83.88,370.49,-14.66,370.49,-16.76,370.49,-15.28,370.49,16.9,370.49,11.19,370.49,14.71,370.49,4.26,370.49,27.98,370.49,18.81,370.49,-5.33,370.49,1.38,370.49,43.83,370.49,-7.1,370.49,18.44,370.49,-1.7,370.49,-15.84,370.49,-8.37
370.856,519.31,370.856,463.47,370.856,16.64,370.856,13.86,370.856,13.82,370.856,485.75,370.856,85.16,370.856,-8.82,370.856,-13.58,370.856,-14.52,370.856,22.06,370.856,15.72,370.856,19.54,370.856,9.32,370.856,27.94,370.856,22.3,370.856,-0.51,370.856,4.49,370.856,43.21,370.856,-7.33,370.856,21.44,370.856,1.42,370.856,-10.6,370.856,-3.8
371.222,503.79,371.222,456.02,371.222,13.8,371.222,11.67,371.222,13.3,371.222,479.84,371.222,84.82,371.222,-11.53,371.222,-14.86,371.222,-14.18,371.222,20.43,371.222,14.99,371.222,17.95,371.222,10.97,371.222,26.73,371.222,19.43,371.222,-0.75,371.222,2.69,371.222,39.85,371.222,-6.04,371.222,20.13,371.222,-0.83,371.222,-12.24,371.222,-4.42
371.588,510.33,371.588,452.06,371.588,13.81,371.588,11.96,371.588,11.4,371.588,499.28,371.588,87.67,371.588,-12.79,371.588,-18.7,371.588,-17.07,371.588,24.64,371.588,13.89,371.588,15.19,371.588,4.98,371.588,24.55,371.588,21.96,371.588,-1.5,371.588,1.46,371.588,46.44,371.588,-8.05,371.588,22.88,371.588,-0.74,371.588,-14.19,371.588,-7.71
371.955,508.95,371.955,442.86,371.955,12.9,371.955,7.04,371.955,7.85,371.955,472.88,371.955,83.55,371.955,-13.23,371.955,-17.11,371.955,-12.42,371.955,16.94,371.955,15.47,371.955,15.96,371.955,6.9,371.955,22.88,371.955,18.26,371.955,-5.72,371.955,2.22,371.955,41.26,371.955,-8.8,371.955,19.07,371.955,-2.88,371.955,-13.31,371.955,-7.21
372.321,474.04,372.321,419.29,372.321,14.58,372.321,12.58,372.321,12.05,372.321,465.61,372.321,80.46,372.321,-11.66,372.321,-16.7,372.321,-16.64,372.321,16.47,372.321,13.82,372.321,15.2,372.321,5.87,372.321,22.3,372.321,20.44,372.321,-0.43,372.321,0.63,372.321,41.89,372.321,-7.51,372.321,20.39,372.321,1.6,372.321,-11.5,372.321,-5.15
372.687,481.87,372.687,426.94,372.687,13.07,372.687,13.23,372.687,10.43,372.687,443.08,372.687,76.66,372.687,-9.76,372.687,-13.54,372.687,-13.2,372.687,20,372.687,14.59,372.687,16.89,372.687,8.14,372.687,25.69,372.687,20.85,372.687,0,372.687,4.17,372.687,42.79,372.687,-6.37,372.687,20.87,372.687,1.18,372.687,-7.88,372.687,-4.35
373.052,469.12,373.052,421.25,373.052,14.23,373.052,10.54,373.052,12.68,373.052,438.05,373.052,77.6,373.052,-9.1,373.052,-14.19,373.052,-12.52,373.052,16.66,373.052,10.75,373.052,17.11,373.052,5.76,373.052,24.51,373.052,21.64,373.052,0.91,373.052,0.14,373.052,39.32,373.052,-7.73,373.052,17.47,373.052,-1.11,373.052,-10.95,373.052,-3.7
373.418,484.28,373.418,435.03,373.418,14.47,373.418,10.41,373.418,10.96,373.418,444.3,373.418,75.49,373.418,-10.75,373.418,-14.66,373.418,-14.31,373.418,20.24,373.418,13.09,373.418,15.48,373.418,8.11,373.418,26.72,373.418,22.33,373.418,0.76,373.418,3.78,373.418,40.68,373.418,-7.48,373.418,21.24,373.418,-0.49,373.418,-9.19,373.418,-7
373.784,461.25,373.784,408.3,373.784,12.9,373.784,10.52,373.784,10.03,373.784,431.66,373.784,70.59,373.784,-10.28,373.784,-14.26,373.784,-14.26,373.784,20.63,373.784,14.15,373.784,14.88,373.784,6,373.784,23.6,373.784,22.31,373.784,-0.06,373.784,3.69,373.784,37.97,373.784,-7.14,373.784,19.73,373.784,-0.47,373.784,-12.04,373.784,-4.42
374.15,466.06,374.15,413.55,374.15,11.34,374.15,6.07,374.15,9.24,374.15,442.44,374.15,73.74,374.15,-11.66,374.15,-15.27,374.15,-13.87,374.15,16.62,374.15,13.87,374.15,16.15,374.15,4.59,374.15,24.03,374.15,18.6,374.15,-1,374.15,0.38,374.15,37.02,374.15,-11.2,374.15,17.15,374.15,-3.01,374.15,-13.84,374.15,-8.5
374.516,470.57,374.516,414.27,374.516,11.71,374.516,9.2,374.516,11.54,374.516,427.71,374.516,71.77,374.516,-11.05,374.516,-12.9,374.516,-12.51,374.516,18.62,374.516,12.52,374.516,14.72,374.516,6.81,374.516,22.79,374.516,17.99,374.516,-1.47,374.516,2.35,374.516,40.55,374.516,-7.73,374.516,18.29,374.516,-0.36,374.516,-11.75,374.516,-3.31
374.881,461.29,374.881,404.32,374.881,12.66,374.881,10.07,374.881,13.86,374.881,433.06,374.881,72.37,374.881,-10.11,374.881,-12.27,374.881,-12.96,374.881,18.75,374.881,16.4,374.881,15.2,374.881,5.64,374.881,22.52,374.881,17.94,374.881,-2.64,374.881,2.89,374.881,39.54,374.881,-9.2,374.881,19.39,374.881,0.32,374.881,-10.82,374.881,-3.01
375.247,444.56,375.247,397.07,375.247,10.54,375.247,7.12,375.247,10.93,375.247,422.95,375.247,75.86,375.247,-10.73,375.247,-15.53,375.247,-13.55,375.247,18.14,375.247,12.08,375.247,15.14,375.247,4.56,375.247,21.47,375.247,18.64,375.247,-3.51,375.247,1.33,375.247,38.19,375.247,-9.72,375.247,17.3,375.247,-2.69,375.247,-12.06,375.247,-5.92
375.613,432.4,375.613,382.07,375.613,13.69,375.613,8.98,375.613,9.28,375.613,413.54,375.613,73.5,375.613,-10.76,375.613,-14.6,375.613,-12.19,375.613,19.13,375.613,13.26,375.613,16.72,375.613,6.4,375.613,20.51,375.613,18,375.613,-4.08,375.613,3.32,375.613,38.34,375.613,-8.14,375.613,17.63,375.613,-1.98,375.613,-12.56,375.613,-4.16
375.978,418.06,375.978,375.82,375.978,12.62,375.978,8.72,375.978,12.39,375.978,408.58,375.978,72.62,375.978,-9.32,375.978,-13.81,375.978,-10.26,375.978,20.35,375.978,14.32,375.978,13.36,375.978,6.67,375.978,20.34,375.978,17.64,375.978,-0.96,375.978,2.28,375.978,37.01,375.978,-8.2,375.978,17.48,375.978,-1.26,375.978,-8.61,375.978,-3.35
376.344,442,376.344,392.35,376.344,10.85,376.344,9.97,376.344,11.12,376.344,390.25,376.344,69.87,376.344,-10.07,376.344,-13.18,376.344,-12.59,376.344,18.05,376.344,12.38,376.344,12.32,376.344,4.78,376.344,19.92,376.344,17.93,376.344,-1.89,376.344,4.99,376.344,35.42,376.344,-4.73,376.344,19.99,376.344,-0.94,376.344,-10.25,376.344,-3.43
376.709,423.35,376.709,375.81,376.709,11.17,376.709,7.91,376.709,8.21,376.709,399.91,376.709,73.64,376.709,-11.36,376.709,-16.14,376.709,-14.86,376.709,19.05,376.709,11.91,376.709,14.19,376.709,2.98,376.709,16.31,376.709,20.16,376.709,-3.07,376.709,2.37,376.709,35.73,376.709,-9.58,376.709,17.72,376.709,-3.32,376.709,-12.16,376.709,-6.72
377.075,412.95,377.075,367.51,377.075,10.86,377.075,6.86,377.075,9.76,377.075,404.56,377.075,66.74,377.075,-11,377.075,-18.07,377.075,-15.8,377.075,18.25,377.075,9.11,377.075,14.03,377.075,4.51,377.075,18.35,377.075,15.69,377.075,-5.27,377.075,1.8,377.075,36.25,377.075,-9.62,377.075,14.54,377.075,-2.35,377.075,-10.13,377.075,-9.06
377.44,406.79,377.44,364.04,377.44,9.38,377.44,8.21,377.44,12.49,377.44,389.22,377.44,69.32,377.44,-6.93,377.44,-13.55,377.44,-13.08,377.44,17.57,377.44,11.98,377.44,13.03,377.44,5.87,377.44,19.24,377.44,16.77,377.44,-2.32,377.44,1.55,377.44,31.53,377.44,-7.41,377.44,16.36,377.44,-0.76,377.44,-10.95,377.44,-4.08
377.806,383.36,377.806,341.85,377.806,13.91,377.806,6.39,377.806,8.78,377.806,381.73,377.806,65.82,377.806,-10.34,377.806,-14.03,377.806,-12.39,377.806,16.52,377.806,11.28,377.806,14.3,377.806,3.57,377.806,21.8,377.806,16.57,377.806,-2.12,377.806,3.36,377.806,34.82,377.806,-8.6,377.806,14.99,377.806,-2.51,377.806,-10.04,377.806,-7.53
378.171,376.17,378.171,337.86,378.171,14.41,378.171,10.79,378.171,11.46,378.171,366.56,378.171,66.87,378.171,-6.03,378.171,-10.62,378.171,-7.27,378.171,21.88,378.171,12.78,378.171,14.42,378.171,7.03,378.171,21.22,378.171,18.57,378.171,0.55,378.171,5.78,378.171,36.89,378.171,-4.19,378.171,15.18,378.171,1.73,378.171,-6.65,378.171,-3.53
378.536,397.04,378.536,349.9,378.536,11.58,378.536,8.36,378.536,10.28,378.536,372.1,378.536,66.85,378.536,-8.65,378.536,-11.99,378.536,-11.04,378.536,18.27,378.536,11.9,378.536,12.4,378.536,7.14,378.536,21.36,378.536,17.41,378.536,-0.15,378.536,4.03,378.536,33.85,378.536,-6.1,378.536,15.31,378.536,-0.12,378.536,-8.37,378.536,-4.13
378.902,380.93,378.902,339.31,378.902,12.8,378.902,8.51,378.902,11.24,378.902,364.79,378.902,66.55,378.902,-7.81,378.902,-13.74,378.902,-10.14,378.902,17.34,378.902,12.09,378.902,12.57,378.902,5.67,378.902,20.88,378.902,15.49,378.902,-0.68,378.902,6.3,378.902,33.01,378.902,-6.95,378.902,14.48,378.902,-1.68,378.902,-8.46,378.902,-5.08
379.267,379.21,379.267,339.37,379.267,11.71,379.267,9.79,379.267,10.76,379.267,357.07,379.267,62.4,379.267,-8.78,379.267,-11.29,379.267,-11,379.267,19.72,379.267,11.15,379.267,12.91,379.267,7.68,379.267,21.7,379.267,17.99,379.267,-1.91,379.267,4.49,379.267,35.6,379.267,-6.08,379.267,16.06,379.267,0.69,379.267,-7.42,379.267,-3.69
379.632,366.72,379.632,320.62,379.632,10.83,379.632,6.99,379.632,6.69,379.632,349.01,379.632,61.92,379.632,-8.6,379.632,-11.76,379.632,-10.43,379.632,15.23,379.632,11.77,379.632,11.4,379.632,3.2,379.632,18.72,379.632,15.17,379.632,-2.95,379.632,2.1,379.632,31.72,379.632,-3.81,379.632,14.22,379.632,0.16,379.632,-8.34,379.632,-4.12
379.997,367.78,379.997,326.36,379.997,13.89,379.997,9.53,379.997,8.8,379.997,356.2,379.997,64.81,379.997,-6.62,379.997,-10.4,379.997,-9.32,379.997,20.79,379.997,11.24,379.997,13.86,379.997,7.13,379.997,20.4,379.997,17.22,379.997,-0.47,379.997,2.6,379.997,32.95,379.997,-5.04,379.997,14.43,379.997,0.21,379.997,-9.44,379.997,-2.78
380.362,375.13,380.362,329.85,380.362,12.69,380.362,10.03,380.362,13,380.362,329.52,380.362,57.68,380.362,-7.05,380.362,-10.27,380.362,-8.99,380.362,21.24,380.362,12.09,380.362,12.7,380.362,7.05,380.362,19.95,380.362,15.04,380.362,-0.22,380.362,3.16,380.362,33.22,380.362,-4.98,380.362,14.83,380.362,1.35,380.362,-7.56,380.362,-2.81
380.727,365.05,380.727,323.56,380.727,11.39,380.727,7.41,380.727,7.42,380.727,343.98,380.727,63.69,380.727,-8.48,380.727,-12.35,380.727,-10.46,380.727,19.59,380.727,8.34,380.727,13.58,380.727,3.71,380.727,17.21,380.727,14.28,380.727,-1.28,380.727,2.1,380.727,31.02,380.727,-7.88,380.727,12.55,380.727,-1.01,380.727,-8.45,380.727,-5.88
381.092,370.09,381.092,319.94,381.092,11.69,381.092,8.68,381.092,9.89,381.092,330.57,381.092,59.6,381.092,-7.25,381.092,-8.61,381.092,-10.5,381.092,21.04,381.092,11.01,381.092,12.39,381.092,4.62,381.092,19.33,381.092,15.1,381.092,-0.65,381.092,4.07,381.092,30.7,381.092,-4.04,381.092,15.16,381.092,-0.07,381.092,-8.18,381.092,-1.72
381.457,340.4,381.457,302.68,381.457,8.84,381.457,8.5,381.457,6.15,381.457,336.61,381.457,60.67,381.457,-8.82,381.457,-13.72,381.457,-12.02,381.457,18.5,381.457,10.23,381.457,12.73,381.457,3.8,381.457,15.65,381.457,13.58,381.457,-4.44,381.457,-0.35,381.457,31.63,381.457,-7.12,381.457,10.61,381.457,-3.04,381.457,-12.47,381.457,-6.78
381.822,351.43,381.822,312.42,381.822,9.37,381.822,8.05,381.822,9.29,381.822,314.35,381.822,57.56,381.822,-9.44,381.822,-12.23,381.822,-11.57,381.822,17.62,381.822,9.12,381.822,10.26,381.822,3.87,381.822,13.32,381.822,12.66,381.822,-3.55,381.822,-1.25,381.822,29.13,381.822,-6.38,381.822,12.28,381.822,-0.98,381.822,-9.15,381.822,-6.5
382.187,350.22,382.187,309.85,382.187,11.69,382.187,8.76,382.187,9.77,382.187,315.86,382.187,56.68,382.187,-7.31,382.187,-8.17,382.187,-9.13,382.187,19.34,382.187,12.75,382.187,13.93,382.187,5.73,382.187,18.46,382.187,17.19,382.187,0.13,382.187,2.73,382.187,31.07,382.187,-3.7,382.187,14.02,382.187,-0.59,382.187,-7.15,382.187,-2.9
382.552,340.06,382.552,298.5,382.552,13.45,382.552,8.99,382.552,11.86,382.552,302.47,382.552,55.73,382.552,-6.92,382.552,-8.63,382.552,-10.31,382.552,18.47,382.552,10.44,382.552,13.51,382.552,5.86,382.552,18.17,382.552,15.48,382.552,1.64,382.552,3.43,382.552,27.21,382.552,-4.99,382.552,13.93,382.552,1.12,382.552,-6.76,382.552,-4.31
382.917,314.38,382.917,278.01,382.917,10.74,382.917,10.48,382.917,9.63,382.917,302.39,382.917,57.77,382.917,-5.64,382.917,-9.92,382.917,-6.33,382.917,19.76,382.917,13.27,382.917,12.98,382.917,5.84,382.917,16.41,382.917,15.05,382.917,-0.13,382.917,2.87,382.917,30.5,382.917,-3.46,382.917,14.73,382.917,0.11,382.917,-6.48,382.917,-4.19
