Relative:208,sturt_leaf,Relative:208,sturt_leaf,Relative:208,sturt_leaf,Relative:208,sturt_nectar,Relative:208,sturt_nectar,Relative:208,sturt_nectar,Relative:208,sturt_dryefn,Relative:208,sturt_dryefn,Relative:208,sturt_dryefn,Relative:208,aus_leaf,Relative:208,aus_leaf,Relative:208,aus_leaf,Relative:208,aus_nectar1,Relative:208,aus_nectar1,Relative:208,aus_nectar1,Relative:208,aus_dryefn1,Relative:208,aus_dryefn1,Relative:208,aus_dryefn1,Relative:208,aus_leaf2,Relative:208,aus_leaf2,Relative:208,aus_leaf2,Relative:208,aus_nectar2,Relative:208,aus_nectar2,Relative:208,aus_nectar2,Relative:208,aus_dryefn2,Relative:208,aus_dryefn2,Relative:208,aus_dryefn2
182.816,-86.97,182.816,-117.65,182.816,87.82,182.816,52.52,182.816,-61.76,182.816,-82.35,182.816,91.18,182.816,174.37,182.816,0.42,182.816,-122.69,182.816,6.3,182.816,27.73,182.816,87.39,182.816,112.61,182.816,141.18,182.816,169.75,182.816,285.29,182.816,137.39,182.816,-21.43,182.816,-13.03,182.816,-55.88,182.816,161.76,182.816,-85.71,182.816,65.97,182.816,194.12,182.816,164.29,182.816,47.48
183.202,-335.71,183.202,514.29,183.202,-1021.43,183.202,-1392.86,183.202,-2764.29,183.202,-1057.14,183.202,292.86,183.202,-2292.86,183.202,1721.43,183.202,-1285.71,183.202,-7.14,183.202,-3528.57,183.202,-800,183.202,85.71,183.202,-342.86,183.202,-428.57,183.202,2678.57,183.202,-64.29,183.202,-250,183.202,464.29,183.202,4192.86,183.202,1264.29,183.202,4485.71,183.202,-478.57,183.202,-3442.86,183.202,50,183.202,2064.29
183.587,29.28,183.587,97.3,183.587,72.52,183.587,-109.46,183.587,142.79,183.587,84.68,183.587,4.05,183.587,28.38,183.587,0.45,183.587,372.97,183.587,42.79,183.587,-100,183.587,0,183.587,-102.7,183.587,79.28,183.587,117.12,183.587,-40.09,183.587,75.23,183.587,113.96,183.587,14.86,183.587,48.2,183.587,144.59,183.587,9.01,183.587,49.1,183.587,56.76,183.587,-25.68,183.587,43.69
183.972,-50,183.972,314.89,183.972,-390.43,183.972,47.87,183.972,-190.43,183.972,46.81,183.972,145.74,183.972,-103.19,183.972,-152.13,183.972,-514.89,183.972,322.34,183.972,-14.89,183.972,-34.04,183.972,251.06,183.972,544.68,183.972,-148.94,183.972,7.45,183.972,58.51,183.972,13.83,183.972,222.34,183.972,284.04,183.972,86.17,183.972,-12.77,183.972,13.83,183.972,219.15,183.972,109.57,183.972,-50
184.358,50.7,184.358,209.79,184.358,95.45,184.358,217.13,184.358,267.48,184.358,127.27,184.358,120.63,184.358,100.35,184.358,207.34,184.358,211.19,184.358,145.1,184.358,23.08,184.358,67.13,184.358,194.41,184.358,39.16,184.358,264.34,184.358,69.58,184.358,2.45,184.358,82.87,184.358,39.51,184.358,-29.72,184.358,-22.03,184.358,197.2,184.358,71.68,184.358,94.41,184.358,243.01,184.358,50.7
184.743,108.45,184.743,67.63,184.743,46.62,184.743,95.89,184.743,37.92,184.743,103.38,184.743,176.09,184.743,73.19,184.743,96.86,184.743,130.43,184.743,42.27,184.743,155.07,184.743,54.11,184.743,53.14,184.743,185.51,184.743,74.4,184.743,136.96,184.743,187.2,184.743,103.62,184.743,100.72,184.743,60.63,184.743,4.11,184.743,124.64,184.743,84.3,184.743,165.7,184.743,198.79,184.743,127.78
185.128,606,185.128,624,185.128,-290,185.128,102,185.128,230,185.128,808,185.128,750,185.128,-574,185.128,-66,185.128,488,185.128,194,185.128,-228,185.128,320,185.128,584,185.128,320,185.128,280,185.128,50,185.128,18,185.128,70,185.128,1246,185.128,74,185.128,382,185.128,440,185.128,230,185.128,36,185.128,-110,185.128,62
185.514,38.89,185.514,222.22,185.514,157.41,185.514,51.23,185.514,-126.54,185.514,-323.46,185.514,122.84,185.514,119.14,185.514,88.27,185.514,51.85,185.514,227.78,185.514,146.91,185.514,39.51,185.514,130.86,185.514,266.67,185.514,86.42,185.514,-14.2,185.514,104.32,185.514,308.02,185.514,78.4,185.514,329.01,185.514,266.05,185.514,-170.37,185.514,150,185.514,-38.27,185.514,143.83,185.514,137.65
185.899,88.18,185.899,-240,185.899,277.27,185.899,-322.73,185.899,-46.36,185.899,-294.55,185.899,240.91,185.899,-44.55,185.899,-290,185.899,-76.36,185.899,-73.64,185.899,481.82,185.899,-58.18,185.899,-134.55,185.899,-43.64,185.899,-316.36,185.899,-284.55,185.899,-153.64,185.899,-162.73,185.899,-100.91,185.899,111.82,185.899,73.64,185.899,-156.36,185.899,128.18,185.899,27.27,185.899,-211.82,185.899,73.64
186.284,-4564.29,186.284,-1314.29,186.284,-2850,186.284,-1621.43,186.284,-4592.86,186.284,-3228.57,186.284,-1878.57,186.284,-1264.29,186.284,-4678.57,186.284,-1971.43,186.284,-121.43,186.284,-1585.71,186.284,-1485.71,186.284,-1514.29,186.284,-3542.86,186.284,-2257.14,186.284,-4292.86,186.284,392.86,186.284,-1850,186.284,-221.43,186.284,-3121.43,186.284,1378.57,186.284,-2142.86,186.284,-2878.57,186.284,-5042.86,186.284,-1778.57,186.284,-5592.86
