"wl","greenfolder","redfolder","darkgreenvinyl","greenvinyl","redvinyl","insidegreenfolder","insideredfolder","greenleafpoisonivy","greenleafgrapelower","greenleafgrapeupper","greenleafverygreen","redleafpoinsettia","redleafcarnation","greenbag","greenfoam","redfoam","redpaper","redswatch1314","redpaint","redtape","greencalibrate","darkgreencalibrate","redcalibrate","insideredfoldermattenp","insidegreenfoldermattenp","greenfoldermattenp","redfoldermattenp","redswatch1315mattenp","darkgreenvinylmattenp","redvinylmattenp","greenvinylmattenp"
300,638.059772298818,473.836038569662,1885.15001705979,2066.27869169202,2057.48729592304,450.618548174014,421.645181111991,54.1045511992161,53.8988759266561,-12.7667307824063,-3.36931393921029,-28.5128047377627,-51.2644002549377,89.5710140917052,139.280476501119,235.868318376952,573.395530952753,867.594005296815,254.687406221001,1870.11138151914,-10.6080998397225,-53.9350973406677,-65.8159987395987,-55.7881303930616,-71.1777492797309,23.6737349122417,-15.8157198046669,-32.2781268862649,-48.8103005930673,-29.7900801355096,-11.7462120593836
301,634.881038992173,472.105450168585,1883.4389289481,2065.1949638261,2056.1485886579,448.125060214431,419.276223420556,57.6909486439313,53.8375059529785,-12.6945685077366,-3.03526822225121,-27.5963744268853,-43.8496795134347,92.2274273704924,139.27443367286,237.889371324104,585.849278414103,878.499937048927,258.675935312898,1924.19237940293,-10.3127657440558,-53.0314644354313,-63.1974810417266,-52.3854304439317,-68.3060922584257,44.8535401329656,-13.4679681651901,-30.6644306604132,-48.3932025051411,-29.217960750421,-11.2642522728252
302,631.96901906108,470.548011087381,1881.80085402726,2064.11931643388,2054.85619487729,445.837561793827,417.110679387817,61.4373009109591,53.8017305534054,-12.5567671790645,-2.70245317674783,-26.5892319870255,-36.1199903016,94.8364190159218,139.293364944412,239.799868326367,597.666231040809,888.775028347325,262.578902450108,1976.42292191585,-10.0883121330357,-52.2486564993888,-60.8061575687544,-49.1418177226966,-65.572469017587,65.065335875178,-11.2351024253084,-29.1248909413359,-47.9945081339382,-28.6741611638495,-10.8057653299939
303,629.341167005327,469.173044013841,1880.28645704781,2063.10904813665,2053.66895442886,443.776977293887,415.167612992353,65.3696854247955,53.7932577652879,-12.3487819346793,-2.37166999858349,-25.4821389263755,-28.0188347180161,97.4005100341739,139.337372479869,241.595100614914,608.849134488177,898.417486770942,266.39539182307,2026.8362141787,-9.9440826010201,-51.6024611953102,-58.6585859373237,-46.0613639817037,-62.9805535135535,84.2846531633086,-9.12074887765778,-27.6603566576493,-47.6140568236562,-28.1592067554076,-10.3711899321207
304,627.014937324701,467.989871635754,1878.94640276026,2062.2214575557,2052.64570716024,441.964231096298,413.466088212747,69.5141796099363,53.813795625977,-12.0660679128701,-2.04371988364147,-24.265856753128,-19.4897148612653,99.9222214314291,139.406558443327,243.270359420917,619.400734411508,907.425519898713,270.124487622222,2075.46546131229,-9.88942074236714,-51.1086661859655,-56.7713237640765,-43.1481409733007,-60.5340197026642,102.487023021787,-7.12853381487396,-26.2716767379695,-47.2516879184925,-27.6736229047074,-9.96096478043621
305,625.007784518991,467.007816640911,1877.83135591515,2061.51384331231,2051.84529291908,440.420247582746,412.025169027579,73.8968608908777,53.8650521728238,-11.704080251926,-1.71940402780514,-22.9311469754753,-10.4761328299302,102.404074213868,139.501024998879,244.82093597555,629.323776466107,915.797335309571,273.765274038003,2122.34386843742,-9.93367015143479,-50.783059134125,-55.1609286656547,-40.4062204498348,-58.2365415412582,119.647976475044,-5.26208352959283,-24.959700110913,-46.9072407626447,-27.2179349913613,-9.57552857617138
306,623.337163087985,466.236201717101,1876.99198126299,2061.04350402777,2051.32655155302,439.165951134916,410.863919415431,78.5438066921154,53.9487354431792,-11.2582740901362,-1.3995236269578,-21.46877110161,-0.921590722593136,104.848589387671,139.620874310622,246.242121509984,638.621006307276,923.531140582451,277.31683526085,2167.50464067492,-10.0861744225811,-50.6414277025586,-53.8439582587,-37.8396741636537,-56.0917929856743,135.743044547509,-3.52502431445025,-23.725275705096,-46.5805547003102,-26.7926683949814,-9.21532002055697
307,622.011871238919,465.676705437767,1876.4945428352,2060.88809472407,2051.16523773268,438.21234963442,409.993095551248,83.4843102546733,54.0685250357846,-10.718664295467,-1.08081636910592,-19.8643183522934,9.22258529036795,107.260943228735,139.76706532388,247.526692847637,647.261304351114,930.583398064298,280.751804571704,2210.66474551197,-10.3595059394957,-50.7044705118354,-52.8448664419727,-35.4516012461999,-54.1029213014226,150.742428840973,-1.91971930013963,-22.5713651173249,-46.2714698728119,-26.3984059384388,-8.88039452393388
308,621.002024475946,465.311784338683,1876.27886727909,2060.98072308915,2051.29029401118,437.523067961449,409.379842413264,88.6823453860728,54.2232876403895,-10.0884007189414,-0.759563907454961,-18.1281382772428,19.8694778424274,109.63919999778,139.939633872325,248.679609376235,655.219250633322,936.930224235746,284.05762699909,2251.59791203254,-10.7418208437206,-50.9520015353936,-52.1438526824436,-33.2353907715784,-52.2640987589672,164.678767734783,-0.44010631923572,-21.4978868409161,-45.9802711757094,-26.0345593601739,-8.56994815834953
309,620.267053244227,465.121928051139,1876.20596326901,2061.1618667433,2051.54034205992,437.047955995561,408.977807184996,94.0660103605562,54.4075119308572,-9.38264097343421,-0.43588338568667,-16.2881328780848,30.8721980407808,111.975212678219,140.137297452568,249.71443617341,662.506140238614,942.599307876259,287.255604354831,2290.42248775262,-11.2058383663924,-51.3384814653071,-51.6910929490705,-31.1805494061302,-50.5655368220779,177.621247419701,0.922826282803611,-20.5011251492502,-45.7074650845554,-25.6998974131537,-8.28313061759445
310,619.76638798892,465.087626206425,1876.13683947933,2061.27200330675,2051.75400355027,436.736863616314,408.740637049963,99.5634034523659,54.615686581051,-8.61654267182,-0.109891947482801,-14.3722041564459,42.083856992624,114.260834253466,140.358773561223,250.644738316797,669.133268251703,947.618337765301,290.367038450747,2327.2568201882,-11.7242777386473,-51.8183709936499,-51.4367632108114,-29.2765838161965,-48.9974469545246,189.639054086487,2.17809016052051,-19.5773643157082,-45.4535580749025,-25.3931888503449,-8.01909159545919
311,619.459459155189,465.189368435831,1875.93250458439,2061.15161039978,2051.76990015365,436.539640703266,408.62197919168,105.102622935745,54.8423002648342,-7.80526342697341,0.218293263474874,-12.4082541139527,53.3575658051525,116.487917706934,140.602779694901,251.484080884029,675.111929757303,952.015002682336,293.413231098661,2362.21925685525,-12.2698581916219,-52.346130812496,-51.3310394366239,-27.5130006681181,-47.5500406200771,200.801373925903,3.33469696845713,-18.7228886136708,-45.2190566223033,-25.1132024247144,-7.7769807857343
312,619.305697188192,465.407644370647,1875.45396725855,2060.64116564264,2051.42665354144,436.406137135975,408.575480793666,110.611767084934,55.0818416560701,-6.96396085176908,0.548555103504595,-10.4241847522316,64.546435585562,118.648316022038,140.868033350217,252.24602895274,680.453419840127,955.816991406829,296.415484110394,2395.42814526976,-12.8152989564526,-52.8762216139193,-51.3240975954659,-25.8793066282361,-46.2135292825053,211.177393128709,4.40165836115561,-17.9339823165189,-45.0044672023105,-24.858706889229,-7.55594788221032
